mu,sigma,runtime,fn.evals,n,gp
1.2753505119428705,0.2041568839099584,10.0625,9.0,5.0,0.0
1.0728723459279044,0.5721654117616691,39.390625,14.0,10.0,1.0
1.2464385553519757,0.6899732036244751,30.96875,7.0,15.0,2.0
1.1519596329603303,0.8386413630489439,41.59375,10.0,20.0,3.0
1.1009273380976647,0.7363539477592921,36.796875,10.0,25.0,4.0
1.1952747048505474,0.8245219798019416,69.109375,20.0,30.0,5.0
1.7497465883661445,1.4681395693541994,1.171875,7.0,5.0,0.0
1.3870995844010032,1.1631485437536473,2.015625,6.0,10.0,1.0
1.085967218319864,0.8650460319771333,33.109375,8.0,15.0,2.0
1.1437019532108925,1.0001923861293271,38.453125,12.0,20.0,3.0
1.0905449559176439,1.0410333820972946,56.953125,10.0,25.0,4.0
1.0014015809969647,1.0415070731298859,70.578125,14.0,30.0,5.0
0.2067735600007683,0.48718309381994834,1.03125,6.0,5.0,0.0
0.8459848833142898,0.34730207754267983,10.9375,9.0,10.0,1.0
0.8801922277192827,0.6914676550259028,33.203125,7.0,15.0,2.0
0.8733777743948433,0.608753382398173,2.34375,5.0,20.0,3.0
0.9413885817847607,0.8451979059961674,56.140625,13.0,25.0,4.0
0.927467950221291,0.9921698304123755,66.09375,13.0,30.0,5.0
1.710391967662054,1.1469583877007417,15.28125,13.0,5.0,0.0
1.309198931006655,1.0336954222668675,31.828125,11.0,10.0,1.0
1.0508330893138553,1.0025211339038937,26.5625,6.0,15.0,2.0
1.0572722506198018,0.8558235525235921,40.90625,9.0,20.0,3.0
0.9936770611629934,0.714925515938235,29.5625,8.0,25.0,4.0
1.092497817329798,0.6473629354138354,57.40625,7.0,30.0,5.0
1.3298483055960792,1.4219091320280113,1.328125,8.0,5.0,0.0
1.0176299586432438,1.2536596766664194,21.125,12.0,10.0,1.0
0.9340332507201461,1.07833013146673,21.8125,7.0,15.0,2.0
0.9251901913158416,0.946484062182893,48.578125,13.0,20.0,3.0
1.0614193732425032,0.9112636785716722,41.609375,19.0,25.0,4.0
1.0790413652620572,0.91882635969942,65.15625,19.0,30.0,5.0
1.4791518716181131,1.5811241914531922,0.765625,5.0,5.0,0.0
1.6308197659874002,1.2248892201824835,24.875,18.0,10.0,1.0
1.284185606613684,1.1659957281463247,31.1875,9.0,15.0,2.0
1.3087721066088782,0.942149682508476,44.6875,10.0,20.0,3.0
1.2492253042270949,0.9312953807562409,40.265625,8.0,25.0,4.0
1.157275136326831,1.0429214646420029,71.140625,16.0,30.0,5.0
1.2533435318695219,1.2288127404637947,11.03125,13.0,5.0,0.0
1.2940948160135994,0.6729497187245538,2.609375,9.0,10.0,1.0
1.0837333329540617,0.3076884656672556,37.4375,14.0,15.0,2.0
0.9421702601736011,0.5261710646085302,4.65625,10.0,20.0,3.0
0.963106702826128,0.5496955726011152,50.78125,10.0,25.0,4.0
0.9306467669710238,0.5731142578417735,42.734375,13.0,30.0,5.0
1.2623090261537215,1.1387461928593832,0.875,6.0,5.0,0.0
1.02773717136546,0.8920952549501299,26.046875,9.0,10.0,1.0
1.0071294050425759,0.7635264080837589,33.546875,7.0,15.0,2.0
1.0752739943850378,0.890004129183413,36.875,12.0,20.0,3.0
1.107366625097169,0.9207902928479518,48.09375,10.0,25.0,4.0
1.0474684289886467,1.027664017216482,59.75,11.0,30.0,5.0
1.380560500406944,0.936721860571194,0.78125,5.0,5.0,0.0
1.103375511558768,0.8950420935976677,4.109375,11.0,10.0,1.0
1.1351695757744928,1.1902803879476729,31.84375,8.0,15.0,2.0
0.9501973087847932,1.1840867969208284,47.625,15.0,20.0,3.0
0.9416122641790118,1.1308160264542433,52.53125,14.0,25.0,4.0
0.8983877439221375,1.1767324324887318,71.140625,8.0,30.0,5.0
1.0697836029821968,1.4275647868666297,1.21875,8.0,5.0,0.0
0.9298903289606806,1.4727515283212187,22.0625,8.0,10.0,1.0
0.7946495835032185,1.0935730504868362,43.0,12.0,15.0,2.0
0.8283323312654925,0.9549864370064693,38.609375,11.0,20.0,3.0
