mu,sigma,runtime,fn.evals,K,gp
-0.14337191091646048,0.36310027976511206,0.359375,16.0,25.0,0.0
0.026386487795522343,0.44319868963564774,0.359375,7.0,50.0,1.0
0.01221381223989757,0.7069680403411737,0.359375,14.0,100.0,2.0
-0.06592986329243948,0.855434999595908,0.34375,12.0,250.0,3.0
0.007944336706479808,0.6176056166845798,0.09375,12.0,500.0,4.0
-0.01834319727576914,0.38054973360315686,0.265625,10.0,25.0,0.0
-0.14494698121533273,0.4901082001434566,0.375,11.0,50.0,1.0
-0.09796117202649673,0.6622207450746607,0.15625,16.0,100.0,2.0
-0.09066037017571411,0.6937621580271389,0.46875,12.0,250.0,3.0
-0.05897798648800615,0.6469182283735396,0.4375,18.0,500.0,4.0
-0.11300835323213797,0.29522604333635377,0.390625,9.0,25.0,0.0
0.018858257516295964,0.36287426370720455,0.3125,8.0,50.0,1.0
0.059374680066091,0.712464453946647,0.296875,14.0,100.0,2.0
-0.004715634654256464,0.8399395290022421,0.375,11.0,250.0,3.0
-0.037692868146687875,0.6546660289040425,0.09375,15.0,500.0,4.0
0.03170770517008678,0.3472774688672201,0.40625,10.0,25.0,0.0
0.043552555637411075,0.5137643335789799,0.421875,10.0,50.0,1.0
-0.19701926053487082,0.6785545412970466,0.34375,12.0,100.0,2.0
-0.05972015593465776,0.7918454336668476,0.375,11.0,250.0,3.0
-0.02973436375207079,0.6180772651607739,0.359375,11.0,500.0,4.0
0.0059788760881089005,0.36137026958183915,0.125,21.0,25.0,0.0
0.026443760189731515,0.38128670513892193,0.359375,10.0,50.0,1.0
-0.029424296615290026,0.6510860745179475,0.375,11.0,100.0,2.0
0.024493787984280375,0.7681025013776934,0.390625,15.0,250.0,3.0
0.0035396721647053654,0.634161606709207,0.359375,9.0,500.0,4.0
0.03141835882636605,0.28888951960223014,0.25,23.0,25.0,0.0
0.01596325818679107,0.49408803659550715,0.5,19.0,50.0,1.0
0.049808173776195036,0.7539386351989187,0.25,8.0,100.0,2.0
0.011638351514377638,0.8808058933205313,0.265625,9.0,250.0,3.0
0.028153172293996765,0.603246125758431,0.359375,8.0,500.0,4.0
0.15646687247579735,0.30561970645744035,0.65625,33.0,25.0,0.0
0.00023681010848327646,0.5259729906621837,0.40625,21.0,50.0,1.0
0.042661521000479846,0.6541380114357717,0.3125,15.0,100.0,2.0
-0.015735875308226198,0.9483777940787348,0.046875,6.0,250.0,3.0
0.01022108160570463,0.5813963172627135,0.375,13.0,500.0,4.0
